ProductKey,Product_Name,Category,Brand,Annual_Demand,EOQ,Daily_Demand,Safety_Stock,Final_Reorder_Point,Annual_Order_Cost,Annual_Holding_Cost,Total_Inventory_Cost,Risk_Level
1,Contoso 512MB MP3 Player E51 Silver,Audio,Contoso,12.65,7.0,0.0347,5.0,5.0,5.23,5.79,11.02,Low
2,Contoso 512MB MP3 Player E51 Blue,Audio,Contoso,14.98,7.0,0.041,5.0,5.0,6.19,5.79,11.98,Low
3,Contoso 1G MP3 Player E100 White,Audio,Contoso,15.57,7.0,0.0427,5.0,5.0,6.43,6.48,12.91,Low
4,Contoso 2G MP3 Player E200 Silver,Audio,Contoso,14.4,6.0,0.0395,3.0,3.0,6.94,8.25,15.19,Low
5,Contoso 2G MP3 Player E200 Red,Audio,Contoso,9.54,4.0,0.0261,5.0,5.0,6.9,5.5,12.4,Low
6,Contoso 2G MP3 Player E200 Black,Audio,Contoso,11.29,5.0,0.0309,4.0,4.0,6.53,6.88,13.41,Low
7,Contoso 2G MP3 Player E200 Blue,Audio,Contoso,19.65,6.0,0.0538,6.0,6.0,9.47,8.25,17.72,Low
8,Contoso 4G MP3 Player E400 Silver,Audio,Contoso,10.7,3.0,0.0293,4.0,4.0,10.32,11.47,21.79,Medium
9,Contoso 4G MP3 Player E400 Black,Audio,Contoso,11.48,3.0,0.0315,5.0,5.0,11.07,11.47,22.54,Medium
10,Contoso 4G MP3 Player E400 Green,Audio,Contoso,21.02,4.0,0.0576,4.0,4.0,15.2,15.29,30.49,Medium
11,Contoso 4G MP3 Player E400 Orange,Audio,Contoso,13.04,3.0,0.0357,4.0,4.0,12.57,11.47,24.04,Medium
12,Contoso 4GB Flash MP3 Player E401 Blue,Audio,Contoso,8.95,2.0,0.0245,4.0,4.0,12.95,8.93,21.88,Medium
13,Contoso 4GB Flash MP3 Player E401 Black,Audio,Contoso,13.82,3.0,0.0379,5.0,5.0,13.33,13.4,26.73,Medium
14,Contoso 4GB Flash MP3 Player E401 Silver,Audio,Contoso,11.68,3.0,0.032,4.0,4.0,11.26,13.4,24.66,Medium
15,Contoso 4GB Flash MP3 Player E401 White,Audio,Contoso,19.65,4.0,0.0538,6.0,6.0,14.21,17.86,32.07,Medium
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Audio,Contoso,8.37,2.0,0.0229,4.0,4.0,12.11,12.64,24.75,Medium
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Audio,Contoso,13.23,2.0,0.0362,5.0,5.0,19.14,12.64,31.78,Medium
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Audio,Contoso,21.02,3.0,0.0576,5.0,5.0,20.27,18.96,39.23,Medium
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Audio,Contoso,10.12,2.0,0.0277,5.0,5.0,14.64,12.64,27.28,Medium
20,Contoso 8GB MP3 Player new model M820 Black,Audio,Contoso,11.48,2.0,0.0315,6.0,6.0,16.61,15.4,32.01,Medium
21,Contoso 8GB MP3 Player new model M820 Blue,Audio,Contoso,12.06,2.0,0.033,5.0,5.0,17.44,15.4,32.84,Medium
22,Contoso 8GB MP3 Player new model M820 Yellow,Audio,Contoso,10.9,2.0,0.0299,5.0,5.0,15.77,15.4,31.17,Medium
23,Contoso 8GB MP3 Player new model M820 White,Audio,Contoso,14.21,2.0,0.0389,4.0,4.0,20.55,15.4,35.95,Medium
24,Contoso 16GB Mp5 Player M1600 Blue,Audio,Contoso,17.9,2.0,0.049,5.0,5.0,25.89,22.98,48.87,Medium
25,Contoso 16GB Mp5 Player M1600 Black,Audio,Contoso,19.85,2.0,0.0544,5.0,5.0,28.71,22.98,51.69,High
26,Contoso 16GB Mp5 Player M1600 Green,Audio,Contoso,11.68,2.0,0.032,5.0,5.0,16.9,22.98,39.88,Medium
27,Contoso 16GB Mp5 Player M1600 White,Audio,Contoso,12.84,2.0,0.0352,5.0,5.0,18.57,22.98,41.55,Medium
28,Contoso 16GB Mp5 Player M1600 Red,Audio,Contoso,16.73,2.0,0.0458,6.0,6.0,24.2,22.98,47.18,Medium
29,Contoso 32GB Video MP3 Player M3200 White,Audio,Contoso,17.51,2.0,0.048,4.0,4.0,25.33,21.12,46.45,Medium
30,Contoso 32GB Video MP3 Player M3200 Red,Audio,Contoso,13.43,2.0,0.0368,3.0,3.0,19.43,21.12,40.55,Medium
31,Contoso 32GB Video MP3 Player M3200 Orange,Audio,Contoso,7.98,1.0,0.0219,3.0,3.0,23.09,10.56,33.65,Medium
32,Contoso 32GB Video MP3 Player M3200 Pink,Audio,Contoso,18.29,2.0,0.0501,5.0,5.0,26.46,21.12,47.58,Medium
33,Contoso 32GB Video MP3 Player M3200 Black,Audio,Contoso,16.93,2.0,0.0464,6.0,6.0,24.49,21.12,45.61,Medium
34,Contoso 4GB Portable MP3 Player M450 Black,Audio,Contoso,19.46,3.0,0.0533,7.0,7.0,18.77,18.34,37.11,Medium
35,Contoso 4GB Portable MP3 Player M450 White,Audio,Contoso,12.26,2.0,0.0336,4.0,4.0,17.73,12.23,29.96,Medium
36,Contoso 4GB Portable MP3 Player M450 Yellow,Audio,Contoso,4.28,1.0,0.0117,3.0,3.0,12.38,6.12,18.5,Low
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Audio,Contoso,10.7,2.0,0.0293,5.0,5.0,15.48,24.78,40.26,Medium
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Audio,Contoso,9.73,2.0,0.0267,5.0,5.0,14.07,24.78,38.85,Medium
