Date,Predicted_Revenue,Lower_Bound,Upper_Bound
2021-02-01,25541.31,0.0,53453.86
2021-02-02,37943.41,10205.91,66254.24
2021-02-03,51486.38,24522.06,80339.25
2021-02-04,57962.11,32289.19,86412.98
2021-02-05,46991.99,17432.27,77213.95
2021-02-06,75540.55,45317.03,105271.52
2021-02-07,20580.58,0.0,47653.55
2021-02-08,46451.8,17643.36,75860.93
2021-02-09,58477.46,31149.23,86538.09
2021-02-10,71583.2,42146.37,99219.31
2021-02-11,77452.08,48538.4,104388.28
2021-02-12,65421.76,39291.6,95382.68
2021-02-13,92364.22,63874.54,119299.6
2021-02-14,35325.28,6394.31,65839.19
2021-02-15,59265.82,33634.08,89472.41
2021-02-16,69875.18,39897.47,97664.88
2021-02-17,82249.48,52711.8,108873.22
2021-02-18,87830.19,58866.05,116184.18
2021-02-19,75462.76,48750.57,105830.66
2021-02-20,101582.73,72321.74,129428.07
2021-02-21,42797.04,13478.13,68325.6
2021-02-22,64121.7,34312.91,92024.81
2021-02-23,71256.66,43558.14,99807.95
2021-02-24,79587.71,51403.87,107370.94
2021-02-25,80964.82,53283.05,110547.61
2021-02-26,64689.03,35612.75,93686.87
2021-02-27,87608.53,58072.05,114385.89
2021-02-28,26329.51,0.0,53825.83
2021-03-01,45898.17,17836.25,75159.79
2021-03-02,51717.48,22129.68,80217.05
2021-03-03,59101.64,29989.14,88308.66
2021-03-04,59997.17,32144.71,89049.25
2021-03-05,43854.88,15230.75,72065.35
2021-03-06,67568.61,38590.74,94917.86
2021-03-07,7348.99,0.0,35741.98
2021-03-08,27985.86,0.0,57036.2
2021-03-09,34524.82,4211.0,63086.15
2021-03-10,42359.37,12064.51,70341.62
2021-03-11,43751.79,14803.04,73098.5
2021-03-12,28443.14,0.0,55964.19
2021-03-13,53405.95,26029.02,81728.11
2021-03-14,0.0,0.0,22697.38
2021-03-15,16311.34,0.0,43618.36
2021-03-16,23828.29,0.0,51000.69
2021-03-17,32739.2,5973.0,61612.35
2021-03-18,35749.13,9709.21,63404.69
2021-03-19,22867.02,0.0,50825.21
2021-03-20,51017.48,22298.85,80357.14
2021-03-21,0.0,0.0,22918.62
2021-03-22,20470.57,0.0,47992.19
2021-03-23,30359.92,2953.12,58694.95
2021-03-24,40601.33,12247.08,68984.19
2021-03-25,43846.1,14791.93,74877.83
2021-03-26,30239.23,3107.68,58699.91
2021-03-27,57072.72,30600.79,83664.68
2021-03-28,0.0,0.0,29762.75
2021-03-29,23596.66,0.0,52190.68
2021-03-30,32572.18,3460.5,63381.51
2021-03-31,42294.6,12924.47,70517.31
2021-04-01,45204.36,16734.73,74190.71
2021-04-02,31266.47,1797.71,58383.23
2021-04-03,57844.95,29786.09,86725.07
2021-04-04,571.36,0.0,28789.25
2021-04-05,24517.63,0.0,52305.84
2021-04-06,33956.04,5175.89,62582.69
2021-04-07,43991.94,14818.74,70098.52
2021-04-08,46712.36,20384.52,76078.93
2021-04-09,31995.99,2610.51,61972.32
2021-04-10,57519.22,31378.87,87387.44
2021-04-11,0.0,0.0,27738.08
2021-04-12,22450.9,0.0,53198.04
2021-04-13,31396.63,1102.97,59054.46
2021-04-14,40868.34,11547.57,70198.48
2021-04-15,42791.07,12736.2,71456.1
2021-04-16,27211.76,0.0,52855.85
2021-04-17,52310.65,25124.38,79827.72
2021-04-18,0.0,0.0,23344.56
2021-04-19,18940.47,0.0,46402.56
2021-04-20,29928.58,3217.35,58097.8
